,order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
0,1,1,957,1,299.98,299.98
1,2,2,1073,1,199.99,199.99
2,3,2,502,5,250.0,50.0
3,4,2,403,1,129.99,129.99
4,5,4,897,2,49.98,24.99
5,6,4,365,5,299.95,59.99
6,7,4,502,3,150.0,50.0
7,8,4,1014,4,199.92,49.98
8,9,5,957,1,299.98,299.98
9,10,5,365,5,299.95,59.99
10,11,5,1014,2,99.96,49.98
11,12,5,957,1,299.98,299.98
12,13,5,403,1,129.99,129.99
13,14,7,1073,1,199.99,199.99
14,15,7,957,1,299.98,299.98
15,16,7,926,5,79.95,15.99
16,17,8,365,3,179.97,59.99
17,18,8,365,5,299.95,59.99
18,19,8,1014,4,199.92,49.98
19,20,8,502,1,50.0,50.0
20,21,9,191,2,199.98,99.99
21,22,9,1073,1,199.99,199.99
22,23,9,1073,1,199.99,199.99
23,24,10,1073,1,199.99,199.99
24,25,10,1014,2,99.96,49.98
25,26,10,403,1,129.99,129.99
26,27,10,917,1,21.99,21.99
27,28,10,1073,1,199.99,199.99
28,29,11,365,1,59.99,59.99
29,30,11,627,4,159.96,39.99
30,31,11,1014,1,49.98,49.98
31,32,11,191,4,399.96,99.99
32,33,11,1014,5,249.9,49.98
33,34,12,957,1,299.98,299.98
34,35,12,134,4,100.0,25.0
35,36,12,1014,3,149.94,49.98
36,37,12,191,5,499.95,99.99
37,38,12,502,5,250.0,50.0
38,39,13,276,4,127.96,31.99
39,40,14,1004,1,399.98,399.98
40,41,14,1014,2,99.96,49.98
41,42,14,502,1,50.0,50.0
42,43,15,502,1,50.0,50.0
43,44,15,1073,1,199.99,199.99
44,45,15,828,3,95.97,31.99
45,46,15,365,3,179.97,59.99
46,47,15,1004,1,399.98,399.98
47,48,16,365,2,119.98,59.99
48,49,16,365,5,299.95,59.99
49,50,17,810,4,79.96,19.99
50,51,17,1014,2,99.96,49.98
51,52,17,93,3,74.97,24.99
52,53,17,1073,1,199.99,199.99
53,54,17,365,4,239.96,59.99
54,55,18,1073,1,199.99,199.99
55,56,18,365,2,119.98,59.99
56,57,18,403,1,129.99,129.99
57,58,19,1004,1,399.98,399.98
58,59,19,957,1,299.98,299.98
59,60,20,502,5,250.0,50.0
60,61,20,1014,4,199.92,49.98
61,62,20,403,1,129.99,129.99
62,63,20,365,5,299.95,59.99
63,64,21,897,3,74.97,24.99
64,65,21,276,4,127.96,31.99
65,66,21,37,2,69.98,34.99
66,67,21,502,2,100.0,50.0
67,68,23,957,1,299.98,299.98
68,69,24,403,1,129.99,129.99
69,70,24,502,1,50.0,50.0
70,71,24,502,5,250.0,50.0
71,72,24,1073,1,199.99,199.99
72,73,24,1073,1,199.99,199.99
73,74,25,1004,1,399.98,399.98
74,75,27,502,3,150.0,50.0
75,76,27,1073,1,199.99,199.99
76,77,27,1004,1,399.98,399.98
77,78,28,191,4,399.96,99.99
78,79,28,957,1,299.98,299.98
79,80,28,957,1,299.98,299.98
80,81,28,191,1,99.99,99.99
81,82,28,365,1,59.99,59.99
82,83,29,1073,1,199.99,199.99
83,84,29,1014,5,249.9,49.98
84,85,29,403,1,129.99,129.99
85,86,29,403,1,129.99,129.99
86,87,29,1004,1,399.98,399.98
87,88,30,502,2,100.0,50.0
88,89,31,191,5,499.95,99.99
89,90,33,403,1,129.99,129.99
90,91,33,1073,1,199.99,199.99
91,92,33,403,1,129.99,129.99
92,93,33,1014,4,199.92,49.98
93,94,34,957,1,299.98,299.98
94,95,35,403,1,129.99,129.99
95,96,36,502,2,100.0,50.0
96,97,36,957,1,299.98,299.98
97,98,36,1004,1,399.98,399.98
98,99,37,365,1,59.99,59.99
99,100,37,906,4,99.96,24.99
100,101,38,627,4,159.96,39.99
101,102,38,502,4,200.0,50.0
102,103,39,1073,1,199.99,199.99
103,104,41,1014,4,199.92,49.98
104,105,41,825,4,127.96,31.99
105,106,42,627,1,39.99,39.99
106,107,42,365,5,299.95,59.99
107,108,42,1004,1,399.98,399.98
108,109,43,957,1,299.98,299.98
109,110,43,191,1,99.99,99.99
110,111,43,403,1,129.99,129.99
111,112,44,1004,1,399.98,399.98
112,113,45,627,5,199.95,39.99
113,114,45,627,4,159.96,39.99
114,115,45,924,5,79.95,15.99
115,116,45,365,1,59.99,59.99
116,117,46,403,1,129.99,129.99
117,118,46,1014,2,99.96,49.98
118,119,48,1014,1,49.98,49.98
119,120,48,886,2,49.98,24.99
120,121,49,957,1,299.98,299.98
121,122,49,365,2,119.98,59.99
122,123,49,403,1,129.99,129.99
123,124,50,403,1,129.99,129.99
124,125,50,957,1,299.98,299.98
125,126,51,502,1,50.0,50.0
126,127,51,1004,1,399.98,399.98
127,128,52,1014,5,249.9,49.98
128,129,52,1014,3,149.94,49.98
129,130,56,1073,1,199.99,199.99
130,131,56,1014,4,199.92,49.98
131,132,56,957,1,299.98,299.98
132,133,57,365,3,179.97,59.99
133,134,57,365,2,119.98,59.99
134,135,57,403,1,129.99,129.99
135,136,57,821,4,207.96,51.99
136,137,58,775,2,19.98,9.99
137,138,58,502,1,50.0,50.0
138,139,58,1004,1,399.98,399.98
139,140,58,1073,1,199.99,199.99
140,141,58,403,1,129.99,129.99
141,142,59,957,1,299.98,299.98
142,143,59,365,1,59.99,59.99
143,144,59,365,1,59.99,59.99
144,145,59,1073,1,199.99,199.99
145,146,61,365,2,119.98,59.99
146,147,61,365,2,119.98,59.99
147,148,61,191,4,399.96,99.99
148,149,62,1004,1,399.98,399.98
149,150,62,1004,1,399.98,399.98
150,151,62,957,1,299.98,299.98
151,152,62,502,1,50.0,50.0
152,153,63,1004,1,399.98,399.98
153,154,63,1014,2,99.96,49.98
154,155,63,1004,1,399.98,399.98
155,156,64,502,3,150.0,50.0
156,157,64,502,1,50.0,50.0
157,158,64,365,1,59.99,59.99
158,159,64,191,2,199.98,99.99
159,160,64,502,4,200.0,50.0
160,161,65,957,1,299.98,299.98
161,162,66,403,1,129.99,129.99
162,163,66,365,2,119.98,59.99
163,164,66,957,1,299.98,299.98
164,165,66,403,1,129.99,129.99
165,166,67,502,3,150.0,50.0
166,167,68,957,1,299.98,299.98
167,168,69,365,4,239.96,59.99
168,169,70,1073,1,199.99,199.99
169,170,70,403,1,129.99,129.99
170,171,70,957,1,299.98,299.98
171,172,71,191,5,499.95,99.99
172,173,71,365,2,119.98,59.99
173,174,71,627,1,39.99,39.99
174,175,72,627,2,79.98,39.99
175,176,72,1073,1,199.99,199.99
176,177,72,572,3,119.97,39.99
177,178,72,835,2,63.98,31.99
178,179,73,1014,5,249.9,49.98
179,180,73,1014,5,249.9,49.98
180,181,73,1014,5,249.9,49.98
181,182,73,403,1,129.99,129.99
182,183,73,191,4,399.96,99.99
183,184,74,365,2,119.98,59.99
184,185,75,403,1,129.99,129.99
185,186,75,502,1,50.0,50.0
186,187,75,502,4,200.0,50.0
187,188,75,1004,1,399.98,399.98
188,189,77,1014,2,99.96,49.98
189,190,77,365,5,299.95,59.99
190,191,77,191,1,99.99,99.99
191,192,77,403,1,129.99,129.99
192,193,77,502,2,100.0,50.0
193,194,81,627,5,199.95,39.99
